organizationId,organizationName,masterDataId,First_Name,Last_Name,Email_Address,Job_Level,Communication_Preference,Industry_Segment,Customer_Segment,Customer_Lifecycle_Stage,Risk_of_Churn,Customer_Advocacy_Score,Sentiment_Analysis
f938b6b3-3b27-4150-86f9-807c2d11d704,Johnson Inc,CUST-0000,Bruce,Morgan,garciacarl@yahoo.com,Director,None,Healthcare,New,Purchase,Medium,33,Neutral
3cb53810-3028-480c-a7ac-87db6eb77ee3,"Miles, Manning and Walker",CUST-0001,Kyle,Marshall,jfrancis@white.com,Executive,SMS,Retail,New,Consideration,High,6,Positive
18a5b7c1-a7b6-48a1-a05d-8118bcafeb7c,"Arnold, Sullivan and Munoz",CUST-0002,Michael,Wright,hector32@hotmail.com,Senior,Email,Manufacturing,Churning,Purchase,Medium,67,Negative
dbd45af3-459d-475e-a5a0-8712e66550c3,"Massey, Hayes and Davila",CUST-0003,Jennifer,Jacobs,kingeric@arnold-stone.net,Executive,None,Retail,At Risk,Consideration,Low,57,Negative
4b17bf02-22fc-461f-b206-662894ee328d,Graham-Jones,CUST-0004,Eric,Flores,donna06@fuller.net,Executive,None,Healthcare,Loyal,Purchase,Medium,74,Positive
98cae61f-81ee-4576-b5dd-06f9832bf2a8,Arnold-Robinson,CUST-0005,Robert,Gonzalez,courtneyross@yahoo.com,Mid,Phone,Tech,Loyal,Purchase,Low,28,Positive
399b3a0c-de6d-4b7e-840c-8ea814f34a64,Reid-Montgomery,CUST-0006,Patricia,Norman,elizabethrubio@bentley-rodriguez.com,Senior,Email,Finance,At Risk,Consideration,Medium,35,Neutral
0b32d850-530e-4fc5-a007-1418f8bc1dcf,Cunningham Inc,CUST-0007,Vincent,White,nalvarez@perez-lee.com,Senior,None,Healthcare,Loyal,Consideration,High,88,Negative
6f8c79ca-269d-4c7f-8f47-72b245e5ed84,"Waller, Downs and Pena",CUST-0008,John,Collier,william88@davidson.com,Senior,SMS,Retail,At Risk,Consideration,High,20,Negative
1ef2799b-b7e6-427a-9abd-589eb88036b7,Gomez Group,CUST-0009,Warren,Martin,gonzalezjames@lyons-clayton.com,Executive,SMS,Finance,Loyal,Awareness,Low,35,Positive
329cea9f-fcc9-4294-93b1-b23cec9c9f15,Price and Sons,CUST-0010,Katherine,Cox,zmiller@hill-bentley.com,Director,Phone,Retail,New,Retention,Low,9,Neutral
21f92bab-9c71-48c2-a6db-9dd6959267a3,Galloway-Patterson,CUST-0011,Mariah,Doyle,robert06@smith.com,Senior,None,Retail,Loyal,Awareness,Low,100,Negative
a587f31d-bcd5-4faa-ad11-2cc2b832acaf,Lucas-Richardson,CUST-0012,Randall,Reeves,leethomas@yahoo.com,Executive,Email,Tech,At Risk,Awareness,Medium,72,Negative
a1f38d52-dacc-44d7-b778-1614c5dc5adf,Burch-Martinez,CUST-0013,Dana,Robbins,pricetracey@hotmail.com,Mid,SMS,Finance,At Risk,Purchase,Medium,23,Neutral
4fc01642-ebe6-4141-90ac-598b2dedaead,"Hunt, Chang and Anderson",CUST-0014,Christina,Cain,kylelawrence@baker.com,Director,None,Finance,At Risk,Consideration,Low,63,Neutral
a2b90d3f-f86d-47da-8c9b-4a316f23ef79,Smith Inc,CUST-0015,Andrew,Hernandez,heathervaughn@yahoo.com,Mid,None,Tech,At Risk,Retention,High,98,Negative
51bb7f9c-0b96-468d-8216-700db8d6125b,Kelly-Maldonado,CUST-0016,James,Kramer,troy39@yahoo.com,Director,Phone,Healthcare,At Risk,Purchase,Medium,48,Negative
d2704523-8446-4600-aff5-305be4442551,Carlson Group,CUST-0017,Amber,Barrett,tina10@atkins.com,Executive,SMS,Retail,Churning,Awareness,Medium,98,Neutral
31f21021-252e-4756-9914-daa5d07681cf,Daugherty-Stewart,CUST-0018,Theresa,Craig,lmiller@ayala.info,Entry,SMS,Manufacturing,Churning,Consideration,Medium,35,Negative
c5b5c084-2d7c-4cc4-b51f-408a651a13c8,"Price, Miller and Avila",CUST-0019,Ricky,Garcia,caustin@hernandez-harris.net,Director,Email,Retail,Loyal,Purchase,Low,81,Positive
17294d69-cd8f-4e9d-be26-0bb93cd6aa04,Mccarthy-Johnson,CUST-0020,Robert,Huang,cadams@daniels-fuentes.com,Mid,SMS,Retail,At Risk,Consideration,Low,95,Positive
2a94f34e-cbaa-4957-b75f-cb7fd852db27,Johnson-Duncan,CUST-0021,Natalie,Brown,megan70@hendricks.com,Executive,Email,Healthcare,Loyal,Purchase,Low,23,Neutral
76cb936d-4e55-4e8a-945c-53879c9e8889,"Taylor, Hughes and Garcia",CUST-0022,Nina,Brown,ashley00@moran.com,Director,SMS,Retail,At Risk,Consideration,Low,22,Neutral
57c59fdc-ed05-4755-885a-cafff19c8753,Mcgee-Kelly,CUST-0023,Daniel,Hoffman,williamssarah@gmail.com,Entry,Phone,Tech,At Risk,Awareness,Low,61,Neutral
900a5fab-a99d-4237-a228-16f724d48060,Griffin Inc,CUST-0024,Tina,Gates,michaelgray@yahoo.com,Entry,SMS,Tech,Churning,Retention,High,95,Positive
ce43caa7-c8c0-4c54-8d1d-94e0a8b1d39f,Taylor PLC,CUST-0025,Marissa,Pugh,staylor@hotmail.com,Senior,Email,Finance,Churning,Awareness,High,36,Negative
c5e1fe84-ee22-45be-87ee-f5cfc3106b80,Mccoy-Brown,CUST-0026,Jennifer,Hamilton,sarahaguirre@jackson-waller.com,Senior,Email,Manufacturing,New,Retention,Low,11,Positive
6c47f97f-d7c4-4f69-afde-31ba6910ce28,Calderon and Sons,CUST-0027,Emily,Lee,zadams@pena.net,Mid,Phone,Retail,Churning,Consideration,Medium,54,Negative
b5f40bd5-4083-431e-bedf-b6a6ae357af5,Livingston Ltd,CUST-0028,Patricia,Vargas,ple@hotmail.com,Director,SMS,Retail,New,Purchase,Low,12,Positive
e942aa31-e7a0-4ebb-a997-e57afc3dca41,"Pearson, Jones and Roberts",CUST-0029,Brandon,Garcia,jennifer27@yahoo.com,Director,SMS,Healthcare,New,Awareness,High,22,Negative
129985ba-1fbf-4dc4-9fe1-b42658789d5b,"Perry, Lester and Hernandez",CUST-0030,Charles,Mcgee,rthompson@cooper.com,Senior,Phone,Tech,New,Retention,High,88,Positive
637b1818-147d-408c-bc9c-038341db1d4f,"Nelson, Larson and Lee",CUST-0031,John,Allen,ynewton@hotmail.com,Director,SMS,Manufacturing,New,Awareness,Medium,98,Neutral
51cfdd62-a540-48b9-8808-f1d15e334420,Moon PLC,CUST-0032,Tamara,Shea,eric19@yahoo.com,Director,SMS,Finance,New,Retention,High,29,Positive
78ecadce-4a06-4bd4-9e7a-a05b3cd27060,Hughes LLC,CUST-0033,Tara,Rogers,brownheather@vargas-black.biz,Entry,Email,Tech,Loyal,Awareness,Low,16,Negative
b651e792-e4b6-4fb4-af6d-a6c745c3bf39,Aguilar-Hernandez,CUST-0034,Maria,Schmidt,jeremymorris@anderson.com,Senior,SMS,Finance,Churning,Retention,Medium,61,Positive
69e64212-8958-4842-8dbc-18c2eab69fcf,"Perez, Keller and Jefferson",CUST-0035,Angela,Hughes,williammartin@yahoo.com,Executive,SMS,Healthcare,New,Retention,Low,83,Positive
f61c5269-a706-4c78-9eb6-0466967879b2,Warren-Gaines,CUST-0036,Heather,Saunders,john51@hays-sheppard.com,Senior,Phone,Healthcare,At Risk,Consideration,Low,88,Positive
2f966615-7d0d-4800-96e2-3c6c213d60ec,Ramirez LLC,CUST-0037,Michelle,Nash,tjackson@yahoo.com,Executive,Phone,Retail,Churning,Retention,Medium,85,Neutral
02a69927-793c-47de-b59c-a7e1d2ca2754,"Nixon, Hurley and Gill",CUST-0038,Melissa,Garcia,chrisstark@hotmail.com,Entry,None,Manufacturing,Churning,Consideration,Low,12,Positive
d1d2e690-d9c4-4f67-a9bf-79f4daef5a5c,Forbes Group,CUST-0039,Donna,Herrera,jesserusso@gmail.com,Mid,Email,Finance,New,Retention,High,58,Neutral
1a9fe54f-b411-4249-8a4e-d392547aebc7,Hinton-Torres,CUST-0040,Kathy,Hansen,leahpeterson@hotmail.com,Director,SMS,Tech,Loyal,Purchase,Low,18,Neutral
803b1942-e778-4955-9212-7ac62513681a,Rose-Davidson,CUST-0041,Lisa,Mathis,james85@miranda.com,Entry,SMS,Healthcare,New,Purchase,Medium,48,Positive
fadc0a7b-da2a-4705-864a-15d1dae36b6f,White-Long,CUST-0042,Jesse,Brown,gvilla@brown.org,Director,None,Retail,Loyal,Purchase,Medium,99,Positive
3157c570-14fa-44b3-8016-8b0ce0b59ea9,Schmidt PLC,CUST-0043,Matthew,Padilla,xschneider@hotmail.com,Mid,SMS,Retail,At Risk,Retention,Medium,11,Positive
97cd231a-a426-400b-8b64-a32deb1bb447,"Brennan, Ortiz and Pena",CUST-0044,Rodney,Hicks,rbautista@clark.info,Mid,Email,Finance,Churning,Consideration,Low,60,Negative
ded0ca3b-3218-40ab-9a3a-2d8e1206d7d4,Clark-Conley,CUST-0045,Michael,Richards,campbellchristopher@hotmail.com,Entry,None,Healthcare,At Risk,Consideration,Medium,18,Positive
d076077a-02d5-4e1b-8325-185c8acde9dc,Davis and Sons,CUST-0046,Benjamin,Hicks,charleswatson@green.com,Mid,Email,Manufacturing,Loyal,Retention,Medium,75,Neutral
